Topic 1,Topic 2,,black comes from #blackandwhite
#hateher,face,,
#inlove,#hateher,,
heart,#inlove,,
black,eyes,,
heavy,smiling,,
vulgar,heart-shaped,,
fraction,joy,,
face,tears,,
three,just,,
just,love,,
