Topic 1,Topic 2,,,
#hateher,#hateher,,,
#inlove,#inlove,,,
u+1f602,u+1f60d,,FACE WITH TEARS OF JOY,SMILING FACE WITH HEART-SHAPED EYES
u+2764,just,,HEAVY BLACK HEART,
just,love,,,
u+1f60d,u+1f644,,SMILING FACE WITH HEART-SHAPED EYES,FACE WITH ROLLING EYES
love,u+2764,,,HEAVY BLACK HEART
one,like,,,
can,#love,,,
&amp;,new,,,
